Name,Type,Latitude,Longitude,Elevation_ft,Continent,ISO_Country,ISO_Region,Municipality,Scheduled_Service,GPS_Code,IATA_Code
Vijayanagar Aerodrome (JSW),small_airport,15.17496667,76.63494722,1670,AS,IN,IN-KA,,0,VOJV,VDY
Baldota Koppal Aerodrome,small_airport,15.36009444,76.22005278,,AS,IN,IN-KA,,0,,
Perunad Helipad,heliport,9.3539,76.86489,,AS,IN,IN-KL,,1,,
Kavaratti Helipad,heliport,10.54166794,72.61604309,,AS,IN,IN-LD,,0,,
Baljek Airport,small_airport,25.66148758,90.34503937,,AS,IN,IN-ML,,1,,
Koirengei Airstrip,closed,24.87245941,93.92568207,,AS,IN,IN-MN,,0,,
Khargon Govt. Airstrip,small_airport,21.81003019,75.55443764,,AS,IN,IN-MP,,0,,
CHINDWARA AIRFIELD,small_airport,22,78.93,,AS,IN,IN-MP,,0,,
Thuampui Helipad,heliport,23.74586667,92.73673333,3214,AS,IN,IN-MZ,,0,,
Pukpui Helipad,heliport,22.94226667,92.76885,,AS,IN,IN-MZ,,0,,
Lunglei Helipad,heliport,22.86838333,92.7633,,AS,IN,IN-MZ,,0,,
Vairengte Helipad,heliport,24.47891667,92.75393333,,AS,IN,IN-MZ,,0,,
Angul Airport (JSPL),small_airport,20.91195,85.03258333,,AS,IN,IN-OR,,0,,
Jajpur ( Sukinda ) Airstrip,small_airport,21.03194444,85.75388889,400,AS,IN,IN-OR,,0,,
Vedanta Lanjigarh Airstrip,small_airport,19.71944444,83.39361111,,AS,IN,IN-OR,,0,,
Salwas,closed,26.141647,73.097062,,AS,IN,IN-RJ,,0,,
Airport,small_airport,26.436257,73.102823,,AS,IN,IN-RJ,,0,,
Gangtok Helipad,heliport,27.35569763,88.61410522,,AS,IN,IN-SK,,0,,
Pakyong Airport (Under Construction),small_airport,27.2313,88.587196,4590,AS,IN,IN-SK,,0,,
Kayathar Airstrip,closed,8.971388817,77.82062531,,AS,IN,IN-TN,,0,,
Chettinad Airstrip,closed,10.16499615,78.79376984,,AS,IN,IN-TN,,0,,
Ulundurpet Airstrip,closed,11.68854875,79.32137489,,AS,IN,IN-TN,,0,,
Cholavaram Airstrip,closed,13.21024193,80.1523447,,AS,IN,IN-TN,,0,,
Sultanpur,small_airport,26.2475,82.0425,,AS,IN,IN-UP,,1,,
Dudhkundi Airfield,closed,22.32459157,87.10741997,,AS,IN,IN-WB,,0,,
Piardoba Airfield,closed,22.98950855,87.29959488,,AS,IN,IN-WB,,0,,
Bishnupur Airfield,closed,23.03392669,87.35486984,,AS,IN,IN-WB,,0,,
Guskhara Airfield,closed,23.471667,87.794167,,AS,IN,IN-WB,,0,,
Pandaveswar Airfield,closed,23.64130052,87.34869003,,AS,IN,IN-WB,,0,,
Aamby Valley Airport,small_airport,18.60961667,73.37758333,2262,AS,IN,IN-MM,Aamby Valley City,0,,
Kishangarh Airport,medium_airport,26.601473,74.814147,,AS,IN,IN-RJ,Ajmer,1,VIKG,KQH
Akli Airport,small_airport,25.8077,70.2943,230,AS,IN,IN-RJ,Akli,0,,
Dhanipur Airstrip,small_airport,27.86085631,78.14686775,,AS,IN,IN-UP,Aligarth,0,VIAH,
Amravati (Belora) Airstrip,small_airport,20.81334851,77.71790743,1125,AS,IN,IN-MM,Amravati,0,,
Jakkur Aerodrome,medium_airport,13.07674,77.597645,3013,AS,IN,IN-KA,Bengaluru,0,VOJK,
Bilaspur Helipad,heliport,31.34513889,76.75675,1685,AS,IN,IN-HP,Bilaspur,0,,
"Aviation Research Centre, RAW Headquarter Helipad",heliport,30.70645,77.8615,,AS,IN,IN-UP,Chakrata,0,,
Daporijo Airport,small_airport,27.98550034,94.22280121,750,AS,IN,IN-AR,Daporijo,0,VEDZ,DEP
Dhubulia Airstrip,closed,23.49298469,88.45401764,,AS,IN,IN-WB,Dhubulia,0,,
Digri Airstrip,closed,22.78544033,87.36225128,,AS,IN,IN-WB,Digri,0,,
Sido Kanhu Airport,small_airport,24.231185,87.269989,470,AS,IN,IN-JH,Dumka,0,,
Kazi Nazrul Islam Airport,medium_airport,23.6225,87.243,300,AS,IN,IN-WB,Durgapur,1,VEDG,RDP
Durgapur Steel Plant Airport,small_airport,23.58331,87.339787,290,AS,IN,IN-WB,Durgapur,0,,
Faizabad Airport,small_airport,26.7511282,82.1543651,350,AS,IN,IN-UP,Faizabad,1,,
STC BSF Indian Army Helipad,heliport,24.3267,93.67546667,,AS,IN,IN-MN,Gangpimual,0,,
PAP Complex Heliport,heliport,31.29208333,75.6072,766,AS,IN,IN-PB,Jalandhar,0,,
Kalyan airstrip,closed,19.17921973,73.13918352,,AS,IN,IN-MM,Kalyan,0,,
Kanchrapara Airfield,closed,22.92293299,88.45992923,,AS,IN,IN-WB,Kanchrapara,0,,
Catholic Medical Centre Helipad,heliport,24.8062,93.94275,,AS,IN,IN-MN,Kangla,0,,
Kannur International Airport,medium_airport,11.918614,75.547211,330,AS,IN,IN-KL,Kannur,1,VOKN,CNN
Khandwa Airport,small_airport,21.85711746,76.33695602,,AS,IN,IN-MP,Khandwa,0,,
Kohima Helipad,heliport,25.66306667,94.11393333,,AS,IN,IN-NL,Kohima,0,,
Lebong Helipad,heliport,27.05908333,88.27773333,,AS,IN,IN-WB,Lebong,0,,
Maithon Heliport,heliport,23.785,86.7935,529,AS,IN,IN-JH,Maithon,0,,
Mathura Heliport,heliport,27.46423333,77.68241667,,AS,IN,IN-UP,Mathura,0,,
Kunjali Helipad,heliport,18.89527337,72.80849397,,AS,IN,IN-MM,Mimbai,0,,
Minicoy Helipad,heliport,8.273630142,73.02230072,,AS,IN,IN-LD,Minicoy Island,0,,
Shikra Naval Helibase,heliport,18.91334568,72.82921135,,AS,IN,IN-MM,Mumbai,0,,
Butcher Island Helipad,heliport,18.9623,72.90308333,,AS,IN,IN-MM,Mumbai,0,,
Mahalaxmi Race Course Helipad,heliport,18.98203333,72.82156667,,AS,IN,IN-MM,Mumbai,0,,
Raj Bhavan Helipad,heliport,18.94265,72.79401667,,AS,IN,IN-MM,Mumbai,0,,
HQ Eastern Air Command Helipad,heliport,25.53818333,91.82655,,AS,IN,IN-ML,Myliem,0,,
Namchi Helipad,heliport,27.15673333,88.32206667,,AS,IN,IN-SK,Nayabazar,0,,
Osmanabad Airport,small_airport,18.281,76.0574,2277,AS,IN,IN-MM,Osmanabad,0,,OMN
Pedong Helipad,heliport,27.15593333,88.61065,,AS,IN,IN-SK,Pedong,0,,
Pelling Helipad,heliport,27.3005,88.23085,,AS,IN,IN-SK,Pelling City,0,,
Phalodi Airfield,heliport,27.11283333,72.389,,AS,IN,IN-RJ,Phalodi,0,,
Poonch Airport,small_airport,33.76875,74.083753,3219,AS,IN,IN-JK,Poonch,0,,
Charra Airfield,closed,23.36577729,86.43673897,,AS,IN,IN-WB,Purulia,0,,
Basanth Nagar Airport,small_airport,18.701,79.3923,670,AS,IN,IN-TG,Ramagundam,0,VORG,RMD
Basanth Nagar Airport,small_airport,18.701,79.3923,670,AS,IN,IN-U-A,Ramagundam,0,VORG,RMD
Surichua Air Base,small_airport,24.18824,87.701722,280,AS,IN,IN-WB,Rampurhat,0,,
Rasgovindpur Airstrip,closed,21.80508952,87.04690933,,AS,IN,IN-OR,Rasgovindpur,0,,
Korba Airport,small_airport,22.41416667,82.71944444,1200,AS,IN,IN-CT,Rumgara,0,,
Saiha Helipad,heliport,22.48858333,92.98695,,AS,IN,IN-MZ,Saiha,1,,
Sevoke Road Indian Army Heliport,heliport,26.7744,88.45231667,472,AS,IN,IN-WB,Salugara,0,,
Serchhip Helipad,heliport,23.32875,92.85606667,,AS,IN,IN-MZ,Serchhip,0,,
Shillong Indian Army Helipad,heliport,25.54425,91.88171667,,AS,IN,IN-ML,Shillong,0,,
Shirdi Airport,medium_airport,19.688611,74.378889,1926,AS,IN,IN-MM,Shirdi,1,VASD,SAG
Shirpur Airport,small_airport,21.32399879,74.95673418,,AS,IN,IN-MM,Shirpur,0,,
Umaria Air Field,small_airport,23.53251391,80.80821991,1510,AS,IN,IN-MP,Umaria,0,,
Upper Tadong Indian Army Helipad,heliport,27.30671667,88.59965,,AS,IN,IN-SK,Upper Tadong,0,,
Vanasthali Airport,small_airport,26.407627,75.870128,,AS,IN,IN-RJ,Vanasthali,0,,
Vijay Nagar Airport,small_airport,19.8841,73.84056667,,AS,IN,IN-MM,Vijay Nagar,0,,
